Customer_ID,subscription_type,start_date,years_active,no_of_other_postpaid_accounts,frequent_availed_top_up_amount_30days,postpaid_plan_30days,monthly_revenue,no_of_top_ups_30days,last_date_top_up,days_since_last_two_top_ups,cellsite,no_of_days_subscribed_to_Call_Text_30days,no_of_days_subscribed_to_GoSurf_30days,no_of_days_subscribed_to_GoWatch_30days,no_of_days_subscribed_to_OtherApps_30days,total_hours_internet_usage_30days,total_hours_OtherApps_usage_30days,no_of_failed_Call_Text_30days,no_of_failed_Surfing_30days,no_of_failed_143hotline_30days,no_of_call_records_Complaint_30days,mins_of_call_records_Complaint_30days,no_of_logged_GlobeOne_30days,Survey_Score
0917-2849660931,postpaid,04/06/2010,9.3,0,116,999,1115,1,5/19/2019,20,CN-7,30,30,19,23,234,234,20,18,7,4,3,14,7
0917-3521446959,prepaid,05/07/2014,5.16,0,100,0,300,2,4/14/2019,55,CN-12,16,12,18,3,136,20,28,20,11,5,23,9,3
0917-6526588656,postpaid,09/06/2017,1.78,0,200,599,799,1,5/18/2019,21,CN-14,30,30,10,26,139,247,5,4,6,9,13,9,0
0917-8987002220,prepaid,10/08/2013,5.75,0,300,0,499,2,5/30/2019,9,CN-20,27,8,17,26,78,119,17,27,25,4,27,16,0
0917-5353179110,prepaid,7/28/2011,7.98,0,100,0,400,5,4/23/2019,46,CN-23,7,7,30,0,258,113,30,11,9,2,3,1,0
0917-8389006856,prepaid,03/07/2015,4.32,0,300,0,400,2,4/13/2019,56,CN-23,30,17,13,12,278,299,29,1,11,6,18,22,3
0917-6072336881,prepaid,8/24/2012,6.89,0,15,0,70,3,06/05/2019,3,CN-9,5,3,3,0,204,17,22,22,2,1,22,26,0
0917-4999505073,prepaid,09/04/2012,6.85,0,100,0,500,5,4/20/2019,49,CN-4,30,16,20,13,152,212,25,3,11,3,17,24,0
0917-3842138375,postpaid,10/11/2018,0.67,0,145,799,944,1,5/22/2019,17,CN-23,30,30,2,1,140,90,27,24,4,8,16,6,7
0917-4338721618,prepaid,7/23/2016,2.92,0,15,0,60,3,06/03/2019,5,CN-1,0,3,1,0,129,251,12,4,11,7,7,20,0
0917-7731583016,prepaid,10/11/2018,0.67,0,50,0,143,1,4/16/2019,53,CN-9,7,2,1,0,45,21,18,11,14,2,25,21,9
0917-3546536714,postpaid,6/28/2010,9.07,0,0,599,599,1,5/19/2019,20,CN-1,30,30,17,12,98,185,17,25,18,5,13,23,0
0917-1744091768,prepaid,11/16/2015,3.61,0,500,0,674,2,04/06/2019,63,CN-14,22,24,17,23,197,104,2,10,1,10,22,21,9
0917-3802388712,prepaid,5/22/2012,7.15,0,100,0,400,5,5/16/2019,23,CN-22,26,29,17,28,192,215,10,3,5,9,18,15,0
0917-8848008305,prepaid,1/15/2018,1.41,0,50,0,155,1,05/11/2019,28,CN-16,7,5,4,0,105,60,27,14,23,3,10,8,0
0917-1421655912,prepaid,1/26/2015,4.43,0,300,0,550,2,5/20/2019,19,CN-12,26,18,15,6,81,225,9,12,5,2,27,19,9
0917-6764389638,postpaid,12/15/2015,3.53,1,400,599,999,1,5/17/2019,22,CN-9,30,30,19,7,190,291,22,2,20,8,7,25,9
0917-2184843687,prepaid,01/01/2014,5.51,0,500,0,681,2,5/22/2019,17,CN-7,28,20,16,16,159,286,11,20,23,3,10,30,0
0917-6233466763,prepaid,09/09/2018,0.75,0,20,0,165,3,04/07/2019,62,CN-25,6,0,4,0,133,166,22,30,29,3,10,27,0
0917-8203259249,prepaid,12/31/2013,5.51,0,30,0,60,2,05/08/2019,31,CN-23,1,2,0,0,275,112,18,1,3,6,25,27,0
0917-1701812044,prepaid,9/22/2014,4.78,0,20,0,179,5,05/12/2019,27,CN-3,3,4,4,0,209,171,13,7,2,7,15,1,0
0917-7037102590,postpaid,2/14/2011,8.43,0,301,599,900,1,5/23/2019,16,CN-5,30,30,27,1,88,290,27,21,4,5,3,21,3
0917-1104665121,prepaid,4/24/2019,0.12,0,30,0,137,4,05/02/2019,37,CN-11,7,3,2,0,159,255,11,18,8,6,14,1,9
0917-8229194970,prepaid,1/22/2019,0.38,0,500,0,500,2,4/13/2019,56,CN-15,28,28,15,30,211,236,13,12,29,1,29,19,8
0917-3399257475,prepaid,02/03/2016,3.39,0,100,0,400,3,5/21/2019,18,CN-18,9,28,25,26,211,135,6,30,18,3,4,22,0
